date,open,high,low,close,volume
2023-03-15,90200,90800,89800,90400,19960178
2023-03-16,88300,89900,87500,88200,8132992
2023-03-17,89000,90500,87300,88700,9962287
2023-03-20,87000,88400,85800,87500,18282107
2023-03-21,87500,88000,86400,87300,23390720
2023-03-22,86800,87100,85300,86300,12703563
2023-03-23,89200,89800,88500,89000,17378567
2023-03-24,89000,89300,87500,89100,23012808
2023-03-27,91300,92300,89400,90800,10166573
2023-03-28,89400,91200,88900,89700,22631943
2023-03-29,90200,90900,89700,90600,23030289
2023-03-30,89800,91000,88400,89900,23807977
2023-03-31,93400,94900,91300,92900,20521596
2023-04-03,89300,91100,88800,89600,22689088
2023-04-04,90500,90800,89600,90000,22596085
2023-04-05,88500,90200,87600,88900,13188244
2023-04-06,88500,89700,87400,89200,22694000
2023-04-07,88800,89400,87400,88100,14794532
2023-04-10,90800,91100,89900,90100,11035652
2023-04-11,90600,91200,88400,89900,15387583
2023-04-12,89900,90800,88600,89700,17801996
2023-04-13,88000,89600,86400,88400,23734777
2023-04-14,86300,87400,85000,86000,9189554
2023-04-17,85600,86200,84300,85400,22416259
2023-04-18,84900,85900,83900,85200,13026138
2023-04-19,83400,84600,83200,83900,19514405
2023-04-20,85400,86600,83900,85700,12877533
2023-04-21,84400,85500,83800,84500,15904799
2023-04-24,83500,84900,83100,83500,10884753
2023-04-25,83300,84800,82600,83900,13698200
2023-04-26,85200,85700,83700,85000,8415231
2023-04-27,82300,83500,81900,82700,9238079
2023-04-28,80500,82000,79700,80900,12147735
2023-05-01,82200,82400,81500,82000,21090785
2023-05-02,82800,84600,82000,83200,8853712
2023-05-03,83900,85500,83000,84200,21624082
2023-05-04,82200,83600,81700,82000,18415089
2023-05-05,78600,79400,77900,78300,17313823
2023-05-08,80200,80700,79100,80200,18840244
2023-05-09,79200,80000,78200,78800,12668156
2023-05-10,79600,80500,78900,79900,10352359
2023-05-11,80100,81500,79600,80400,9091890
2023-05-12,78900,79400,78000,79000,23382254
2023-05-15,80100,81200,79700,80000,21015107
2023-05-16,79700,81000,79400,79900,24208315
2023-05-17,79900,81100,79200,80000,18255294
2023-05-18,80100,80400,79100,80200,19545412
2023-05-19,81100,81600,80200,81200,10169672
2023-05-22,80800,81900,79400,81000,18926744
2023-05-23,80300,81600,78900,80800,14444765
2023-05-24,81400,82100,80600,81100,22142712
2023-05-25,82000,82700,80500,82400,17170123
2023-05-26,84000,85200,83200,83800,20821964
2023-05-29,84400,84800,82300,83800,10590499
2023-05-30,85500,86000,84800,85400,21037267
2023-05-31,86600,88000,86100,87000,9947058
2023-06-01,88200,89000,87100,88800,19514903
2023-06-02,85800,86500,84500,85100,9291940
2023-06-05,83800,85600,83400,84400,18206997
2023-06-06,81900,83900,81500,82400,13902464
2023-06-07,81200,81800,80800,81200,21979625
2023-06-08,81300,83200,80700,81800,22088024
2023-06-09,81700,83100,80300,81400,21739386
2023-06-12,80000,80800,79000,79900,20427445
2023-06-13,80000,80300,79300,79600,12145678
2023-06-14,82400,83400,81400,82400,8487899
2023-06-15,82600,84200,81600,83000,22965439
2023-06-16,82500,83000,80800,82300,24117063
2023-06-19,84300,85500,83700,84300,18980349
2023-06-20,85600,86900,84200,85600,11767138
2023-06-21,85300,86100,84400,85200,15233564
2023-06-22,84300,84900,83400,84000,12605579
2023-06-23,83600,84300,82800,84000,20957223
2023-06-26,84300,85300,83400,84800,20317945
2023-06-27,86300,86900,85000,86600,11867213
2023-06-28,85900,86600,85100,86400,12663292
2023-06-29,88600,89000,88000,88400,16344937
2023-06-30,88600,89600,87100,88000,15487969
2023-07-03,88900,89800,87900,88300,14812026
2023-07-04,88200,89900,86700,88800,10536358
2023-07-05,88200,88500,87000,87500,18307400
2023-07-06,87400,87900,86200,87000,15658745
2023-07-07,84900,85500,83500,84200,18363725
2023-07-10,85600,87100,84000,85300,11587428
2023-07-11,84400,85100,82900,84800,15658562
2023-07-12,84200,84800,82900,84100,20018249
2023-07-13,83900,85300,83100,83600,18625986
2023-07-14,82300,83700,81200,82100,17257560
2023-07-17,80600,80900,79000,80200,13229400
2023-07-18,78000,78900,76700,77700,10114012
2023-07-19,77400,78200,76100,76900,9367511
2023-07-20,74400,75600,73400,74900,12256254
2023-07-21,78300,79200,77700,77900,24992731
2023-07-24,80100,80600,78500,79900,20856570
2023-07-25,78400,78800,77200,77900,18791340
2023-07-26,78300,78600,77300,78300,13666242
2023-07-27,76700,78000,75700,77000,24068290
2023-07-28,75000,75800,73800,74600,13346791
2023-07-31,72900,73800,72700,73100,19180226
2023-08-01,76300,77000,75200,76300,14150249
2023-08-02,76700,77100,75700,76400,23770436
2023-08-03,74400,75500,73200,74500,24543495
2023-08-04,73300,74500,72600,73700,9584556
2023-08-07,73700,74900,72300,73100,9996924
2023-08-08,74200,75000,72900,73900,22190307
2023-08-09,73100,73500,71900,72600,14520962
2023-08-10,74400,75600,73000,74000,21430105
2023-08-11,73100,74400,72400,73200,21949341
2023-08-14,73100,74400,72300,73000,10526122
2023-08-15,74200,74800,73400,74100,17238311
2023-08-16,72700,74000,72100,73000,11970561
2023-08-17,73700,73900,73000,73400,19988873
2023-08-18,74100,75200,73700,73900,16420587
2023-08-21,72100,73400,71500,72700,22784905
2023-08-22,73700,74400,73200,73700,14969636
2023-08-23,72900,73200,71900,72700,24476461
2023-08-24,71800,72900,71300,71600,22608817
2023-08-25,73200,73900,72700,73400,20909830
2023-08-28,73100,74500,72900,73600,24956240
2023-08-29,73700,74400,72200,73400,18773713
2023-08-30,74600,75800,73100,74400,21534438
2023-08-31,73100,74000,72000,73400,17029827
2023-09-01,70900,71500,70600,71300,18535076
2023-09-04,70100,71600,69000,70400,15839548
2023-09-05,69800,71400,69600,70400,19519385
2023-09-06,71000,72000,70100,71400,17988718
2023-09-07,70200,71600,69200,70500,14539785
2023-09-08,69500,69900,68900,69500,17771802
2023-09-11,71100,72000,69600,70600,17620793
2023-09-12,70700,71700,69300,70500,18308910
2023-09-13,67600,68900,67000,67900,13989456
2023-09-14,68100,68900,67400,67900,20255782
2023-09-15,66800,67900,66200,66700,13251859
2023-09-18,64700,65500,64300,64800,9532267
2023-09-19,63900,64600,63300,64300,24515322
2023-09-20,66200,67300,65900,66200,12368491
2023-09-21,67100,68000,66000,66800,9957885
2023-09-22,66100,66400,65400,65600,22622390
2023-09-25,65500,66500,64300,65100,21441593
2023-09-26,61400,62600,60700,61900,19438082
2023-09-27,61600,62600,60200,61200,11974972
2023-09-28,59500,61000,59000,60000,23559350
2023-09-29,60400,61400,59300,60100,14941029
2023-10-02,60100,61500,59300,60500,16374618
2023-10-03,62000,63000,61500,62400,20633382
2023-10-04,64200,64800,63300,63700,10626889
2023-10-05,63300,63800,63100,63300,8556176
2023-10-06,63400,64200,63200,63600,22542653
2023-10-09,65100,66200,64200,65000,14768373
2023-10-10,65700,66400,65400,66100,15730195
2023-10-11,65300,65500,64800,65200,12140671
2023-10-12,63400,64500,62300,63800,21007675
2023-10-13,64400,64900,63000,64000,23309027
2023-10-16,64300,65800,63300,64800,10209866
2023-10-17,65000,65200,63600,64800,21429739
2023-10-18,65300,66100,64300,65600,8890783
2023-10-19,65800,66400,65100,65500,16725045
2023-10-20,63700,64700,63500,64100,8737205
2023-10-23,64600,65200,64400,64600,9034031
2023-10-24,62300,62800,61900,62300,16334570
2023-10-25,62300,63400,61200,62700,12675271
2023-10-26,62600,63300,61700,62500,24908671
2023-10-27,61400,61600,60900,61300,22497476
2023-10-30,61200,62100,60700,61100,11655392
2023-10-31,60200,61000,59500,60400,9616459
2023-11-01,60500,61400,59800,60600,10594861
2023-11-02,61300,61500,60000,61000,20559531
2023-11-03,61100,61800,60300,60800,17546969
2023-11-06,60400,61300,60000,60500,22757566
2023-11-07,61300,62400,60500,61000,13977985
2023-11-08,60500,60800,59400,60400,22371348
2023-11-09,59900,60900,59400,60000,21722763
2023-11-10,62000,62700,61200,61700,8446315
2023-11-13,59700,60600,58500,59300,11067073
2023-11-14,58900,59100,58700,59000,17627458
2023-11-15,58100,58400,57600,58200,8521170
2023-11-16,58100,58600,57400,58200,20267131
2023-11-17,57700,58300,56500,57500,8894350
2023-11-20,58400,58800,57900,58300,16256248
2023-11-21,59500,59900,59100,59500,9934897
2023-11-22,58900,59500,58300,58700,8772095
2023-11-23,59000,59800,57900,59100,13124129
2023-11-24,59000,59700,57900,59300,20699240
2023-11-27,59500,60300,59100,59800,16504459
2023-11-28,60400,61800,59400,60800,8318606
2023-11-29,59600,60500,58700,59200,17747794
2023-11-30,58500,59000,57800,58900,21622476
2023-12-01,58000,58900,57600,57800,9498207
2023-12-04,58400,59000,57600,58300,13274667
2023-12-05,57500,58100,56600,57700,16678215
2023-12-06,59000,59400,58200,58600,21922126
2023-12-07,59800,60100,58600,59500,11353620
2023-12-08,58200,58500,57700,58000,16399989
2023-12-11,57200,58000,56400,57000,23710622
2023-12-12,55800,56700,55300,55700,10566275
2023-12-13,54800,55600,54100,55100,12669452
2023-12-14,56100,56800,55100,56300,22138842
2023-12-15,56300,57600,56100,56700,18455142
2023-12-18,55600,56400,55400,55600,15645472
2023-12-19,55800,56500,54800,55500,16085693
